"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:31:23:561","03-17-2022 04:31:45:823","22.262","35.32692307692309","4516.633194861199","1768.3679999999995"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:32:00:680","03-17-2022 04:33:08:037","67.357","34.8408450704225","3551.415622904821","5793.152999999999"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:33:21:181","03-17-2022 04:35:38:115","136.934","32","1746.9196993588153","10203.95899999999"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:36:03:955","03-17-2022 04:36:48:942","44.987","34.28979591836736","5317.373954964768","3382.8079999999986"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:37:04:779","03-17-2022 04:37:16:260","11.481","34.093333333333334","1454.418692448393","829.0559999999999"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:37:28:334","03-17-2022 04:38:11:462","43.128","32","387.1772632164719","3184.263"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:38:30:121","03-17-2022 04:38:50:224","20.103","34.365217391304355","830.6312992090733","1356.211"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:39:05:268","03-17-2022 04:39:23:768","18.5","34.25","5435.096658594594","1608.1359999999997"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:39:35:516","03-17-2022 04:40:54:703","79.187","32","1269.770141361587","6303.9039999999995"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:41:17:643","03-17-2022 04:41:37:964","20.321","34.68750000000001","4948.0482350278035","1661.625"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:41:52:625","03-17-2022 04:42:57:999","65.374","34.70579710144925","3659.141281120935","5466.591"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:43:10:641","03-17-2022 04:45:30:763","140.122","32","1707.1744773269008","10405.561"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:45:58:140","03-17-2022 04:46:48:854","50.714","34.352830188679235","4716.896756556375","3928.1750000000006"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:47:04:267","03-17-2022 04:47:26:263","21.996","34.1423076923077","759.1462542280415","1485.9340000000002"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:47:38:549","03-17-2022 04:48:20:090","41.541","32","401.96868173611614","3151.9940000000006"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:48:39:019","03-17-2022 04:48:58:763","19.744","34.13913043478262","845.7344513776337","1292.3539999999996"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:49:13:273","03-17-2022 04:49:31:613","18.34","34.350000000000016","5482.512987131952","1637.7199999999998"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:49:43:647","03-17-2022 04:50:48:693","65.046","32","1545.8181622851519","5416.094000000002"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:51:11:206","03-17-2022 04:51:35:188","23.982","35.117857142857154","4192.698197981819","1885.3529999999998"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:51:50:252","03-17-2022 04:53:10:068","79.816","34.45421686746984","2997.051995990779","6331.881999999998"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:53:23:173","03-17-2022 04:55:48:959","145.786","32","1640.848244083794","10767.532000000003"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:56:15:320","03-17-2022 04:56:57:028","41.708","34.317777777777785","5735.4153186918575","3331.0759999999996"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:57:13:479","03-17-2022 04:57:25:300","11.821","34.15000000000001","1412.586160900093","820.5429999999999"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:57:37:694","03-17-2022 04:58:17:443","39.749","32","420.09059367531256","2998.7000000000003"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:58:36:656","03-17-2022 04:58:59:488","22.832","34.137037037037054","731.3499039943938","1568.6639999999998"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:59:14:751","03-17-2022 04:59:34:280","19.529","34.343478260869574","5148.716687183163","1776.4180000000001"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:59:46:384","03-17-2022 05:00:52:825","66.441","32","1513.3620533104558","5251.439999999999"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 05:01:12:244","03-17-2022 05:01:34:588","22.344","34.88846153846154","4500.057652345148","1756.753"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 05:01:49:421","03-17-2022 05:03:10:869","81.448","34.24823529411762","2936.9990928199586","6613.581"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 05:03:23:593","03-17-2022 05:05:41:825","138.232","32","1730.5161041726951","10592.096999999994"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 05:06:09:010","03-17-2022 05:06:54:484","45.474","34.391836734693875","5260.427983287153","4499.402"
